Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
Athens (1896),1896,Aquatics,Swimming,Alfred Hajos,Hungary,Men,100m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Otto Herschmann,Austria,Men,100m freestyle men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Dimitrios Drivas,Greece,Men,100m freestyle for sailors men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Ioannis Malokinis,Greece,Men,100m freestyle for sailors men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Spiridon Chasapis,Greece,Men,100m freestyle for sailors men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,Greece,Men,1200m freestyle men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Alfred Hajos,Hungary,Men,1200m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Joannis Andreou,Greece,Men,1200m freestyle men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,Greece,Men,400m freestyle men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Paul Neumann,Austria,Men,400m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Antonios Pepanos,Greece,Men,400m freestyle men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Francis Lane,United States,Men,100m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Alajos Szokolyi,Hungary,Men,100m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Thomas Burke,United States,Men,100m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Fritz Hofmann,Germany,Men,100m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Thomas Curtis,United States,Men,110m hurdles men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Grantley Goulding,United Kingdom,Men,110m hurdles men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Albin Lermusiaux,France,Men,1500m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Edwin Flack,Australia,Men,1500m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Arthur Blake,United States,Men,1500m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Charles Gmelin,United Kingdom,Men,400m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Thomas Burke,United States,Men,400m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Herbert Jamison,United States,Men,400m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Dimitrios Golemis,Greece,Men,800m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Edwin Flack,Australia,Men,800m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Nandor Dani,Hungary,Men,800m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Sotirios Versis,Greece,Men,discus throw men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Robert Garrett,United States,Men,discus throw men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Panagiotis Paraskevopoulos,Greece,Men,discus throw men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Ellery Clark,United States,Men,high jump men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,James Connolly,United States,Men,high jump men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Robert Garrett,United States,Men,high jump men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,James Connolly,United States,Men,long jump men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Ellery Clark,United States,Men,long jump men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Robert Garrett,United States,Men,long jump men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Gyula Kellner,Hungary,Men,marathon men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Spyridon Louis,Greece,Men,marathon men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Kharilaos Vasilakos,Greece,Men,marathon men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Evangelos Damaskos,Greece,Men,pole vault men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Ioannis Theodoropoulos,Greece,Men,pole vault men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,William Welles Hoyt,United States,Men,pole vault men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Albert Tyler,United States,Men,pole vault men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Georgios Papasideris,Greece,Men,shot put men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Robert Garrett,United States,Men,shot put men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Miltiadis Gouskos,Greece,Men,shot put men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Ioannis Persakis,Greece,Men,triple jump men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,James Connolly,United States,Men,triple jump men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Alexandre Tufferi,France,Men,triple jump men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Road,Edward Battel,United Kingdom,Men,individual road race men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Road,Aristidis Konstantinidis,Greece,Men,individual road race men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Road,August Goedrich,Germany,Men,individual road race men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,France,Men,100km men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Georgios Kolettis,Greece,Men,100km men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,Austria,Men,10km men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Track,Paul Masson,France,Men,10km men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,France,Men,10km men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,Austria,Men,12-hour race men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Frank Keeping,United Kingdom,Men,12-hour race men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,Austria,Men,1km time trial men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Track,Paul Masson,France,Men,1km time trial men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Stamatios Nikolopoulos,Greece,Men,1km time trial men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,France,Men,Sprint indivual men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Track,Paul Masson,France,Men,Sprint indivual men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Stamatios Nikolopoulos,Greece,Men,Sprint indivual men,Silver,0,1,0
Athens (1896),1896,Fencing,Fencing,Perikles Pierrakos-mavromichalis,Greece,Men,foil individual men,Bronze,0,0,1
Athens (1896),1896,Fencing,Fencing,Eugène-Henri Gravelotte,France,Men,foil individual men,Gold,1,0,0
Athens (1896),1896,Fencing,Fencing,Henri Callot,France,Men,foil individual men,Silver,0,1,0
Athens (1896),1896,Fencing,Fencing,Leonidas Pyrgos,Greece,Men,"foil, masters men",Gold,1,0,0
Athens (1896),1896,Fencing,Fencing,Maurice Perronnet,France,Men,"foil, masters men",Silver,0,1,0
Athens (1896),1896,Fencing,Fencing,Holger Nielsen,Denmark,Men,sabre individual men,Bronze,0,0,1
Athens (1896),1896,Fencing,Fencing,Ioannis Georgiadis,Greece,Men,sabre individual men,Gold,1,0,0
Athens (1896),1896,Fencing,Fencing,Telemachos Karakalos,Greece,Men,sabre individual men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,Germany,Men,horizontal bar men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,Germany,Men,horizontal bar men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,Germany,Men,parallel bars men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,Switzerland,Men,parallel bars men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,Switzerland,Men,pommel horse men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,Germany,Men,pommel horse men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,Greece,Men,rings men,Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,Greece,Men,rings men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,Germany,Men,rings men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,Germany,Men,rope climbing men,Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,Greece,Men,rope climbing men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,Greece,Men,rope climbing men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad Böcker,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard Röstel,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,Germany,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Chrysaphis,Greece,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Phillippos Karvelas,Greece,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Dimitrios Loundras,Greece,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,Greece,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad Böcker,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard Röstel,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,Germany,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,Greece,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Spyros Athanasopoulos,Greece,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,Greece,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,Greece,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,Germany,Men,vault men,Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,Germany,Men,vault men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,Switzerland,Men,vault men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Nikolaos Morakis,Greece,Men,25m army pistol men,Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,John Paine,United States,Men,25m army pistol men,Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Sumner Paine,United States,Men,25m army pistol men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Holger Nielsen,Denmark,Men,25m rapid fire pistol (60 shots) men,Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,Greece,Men,25m rapid fire pistol (60 shots) men,Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Georgios Orphanidis,Greece,Men,25m rapid fire pistol (60 shots) men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,Greece,Men,50m pistol (60 shots) men,Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Sumner Paine,United States,Men,50m pistol (60 shots) men,Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Holger Nielsen,Denmark,Men,50m pistol (60 shots) men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Nicolaos Trikupis,Greece,Men,"army rifle, 200m men",Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Pantelis Karasevdas,Greece,Men,"army rifle, 200m men",Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Pavlos Pavlidis,Greece,Men,"army rifle, 200m men",Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Viggo Jensen,Denmark,Men,"army rifle, 300m men",Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Georgios Orphanidis,Greece,Men,"army rifle, 300m men",Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,Greece,Men,"army rifle, 300m men",Silver,0,1,0
Athens (1896),1896,Tennis,Tennis,Edwin Flack,Mixed Team (1896 to 1904),Men,doubles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,George Stuart Robertson,Mixed Team (1896 to 1904),Men,doubles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,John Boland,Mixed Team (1896 to 1904),Men,doubles men,Gold,1,0,0
Athens (1896),1896,Tennis,Tennis,Friedrich Traun,Mixed Team (1896 to 1904),Men,doubles men,Gold,1,0,0
Athens (1896),1896,Tennis,Tennis,Dionysios Kasdaglis,Mixed Team (1896 to 1904),Men,doubles men,Silver,0,1,0
Athens (1896),1896,Tennis,Tennis,Demetrios Petrokokkinos,Mixed Team (1896 to 1904),Men,doubles men,Silver,0,1,0
Athens (1896),1896,Tennis,Tennis,Konstantinos Paspatis,Greece,Men,singles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,Momcsillo Tapavicza,Hungary,Men,singles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,John Boland,United Kingdom,Men,singles men,Gold,1,0,0
Athens (1896),1896,Tennis,Tennis,Dionysios Kasdaglis,Greece,Men,singles men,Silver,0,1,0
Athens (1896),1896,Weightlifting,Weightlifting,Alexandros Nikolopoulos,Greece,Men,heavyweight - one hand lift men,Bronze,0,0,1
Athens (1896),1896,Weightlifting,Weightlifting,Launceston Elliott,United Kingdom,Men,heavyweight - one hand lift men,Gold,1,0,0
Athens (1896),1896,Weightlifting,Weightlifting,Viggo Jensen,Denmark,Men,heavyweight - one hand lift men,Silver,0,1,0
Athens (1896),1896,Weightlifting,Weightlifting,Sotirios Versis,Greece,Men,heavyweight - two hand lift men,Bronze,0,0,1
Athens (1896),1896,Weightlifting,Weightlifting,Viggo Jensen,Denmark,Men,heavyweight - two hand lift men,Gold,1,0,0
Athens (1896),1896,Weightlifting,Weightlifting,Launceston Elliott,United Kingdom,Men,heavyweight - two hand lift men,Silver,0,1,0
Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Stephanos Christopoulos,Greece,Men,open event men,Bronze,0,0,1
Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Carl Schumann,Germany,Men,open event men,Gold,1,0,0
Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Georgios Tsitas,Greece,Men,open event men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,Hungary,Men,1500m freestyle men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,John Arthur Jarvis,United Kingdom,Men,1500m freestyle men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Otto Wahle,Austria,Men,1500m freestyle men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Johannes Drost,Netherlands,Men,200m backstroke men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Ernst Hoppenberg,Germany,Men,200m backstroke men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Karl Ruberl,Austria,Men,200m backstroke men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Karl Ruberl,Austria,Men,200m freestyle men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Frederick C.V. Lane,Australia,Men,200m freestyle men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,Hungary,Men,200m freestyle men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Peter Kemp,United Kingdom,Men,200m obstacle event men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Frederick C.V. Lane,Australia,Men,200m obstacle event men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Otto Wahle,Austria,Men,200m obstacle event men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Houben,France,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Jean Leuillieux,France,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Louis Martin,France,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Désiré Merchez,France,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Tartara,France,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Julius Frey,Germany,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Max Hainle,Germany,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Ernst Hoppenberg,Germany,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Max Schöne,Germany,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Herbert Von petersdorff,Germany,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Bertrand,France,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Cadet,France,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Maurice Hochepied,France,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Victor Hochepied,France,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Verbecke,France,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Louis Martin,France,Men,4000m freestyle men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,John Arthur Jarvis,United Kingdom,Men,4000m freestyle men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,Hungary,Men,4000m freestyle men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Peder Lykkeberg,Denmark,Men,underwater swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Charles De vendeville,France,Men,underwater swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,André Six,France,Men,underwater swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Thomas Burgess,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Coulon,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Alphonse Decuyper,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Devenot,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Fardelle,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Favier,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Louis Laufray,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Leriche,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Louis Martin,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Désiré Merchez,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Henri Peslier,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Pesloy,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Charles Treffel,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Paul Vasseur,France,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Thomas Coe,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,John Henry Derbyshire,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Peter Kemp,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,William Lister,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Arthur Robertson,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Eric Robinson,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,George Wilkinson,United Kingdom,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Henri Cohen,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Jean De backer,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Victor De behr,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Fernand Feyaerts,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Oscar Gregoire,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Albert Michant,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Victor Sonnemans,Belgium,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Archery,Archery,Charles Frédéric Petit,France,Men,"au chapelet, 33m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Hubert Van innis,Belgium,Men,"au chapelet, 33m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Victor Thibaud,France,Men,"au chapelet, 33m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Emile Mercier,France,Men,"au chapelet, 50m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Eugène Mougin,France,Men,"au chapelet, 50m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Henri Helle,France,Men,"au chapelet, 50m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Charles Frédéric Petit,France,Men,"au cordon doré, 33m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Hubert Van innis,Belgium,Men,"au cordon doré, 33m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Victor Thibaud,France,Men,"au cordon doré, 33m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Emile Fisseux,France,Men,"au cordon doré, 50m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Henri Herouin,France,Men,"au cordon doré, 50m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Hubert Van innis,Belgium,Men,"au cordon doré, 50m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Emmanuel Foulon,Belgium,Men,sur la perche à la herse men,Gold,1,0,0
Paris (1900),1900,Archery,Archery,Jr. Druart,Belgium,Men,sur la perche à la herse men,Silver,0,1,0
Paris (1900),1900,Archery,Archery,Auguste Serrurier,France,Men,sur la perche à la herse men,Silver,0,1,0
Paris (1900),1900,Archery,Archery,Louis Glineux,Belgium,Men,sur la perche à la pyramide men,Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Emile Grumiaux,France,Men,sur la perche à la pyramide men,Gold,1,0,0
Paris (1900),1900,Archery,Archery,Auguste Serrurier,France,Men,sur la perche à la pyramide men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Stanley Rowley,Australia,Men,100m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Francis Jarvis,United States,Men,100m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,United States,Men,100m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Frederick Moloney,United States,Men,110m hurdles men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,United States,Men,110m hurdles men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,John Mclean,United States,Men,110m hurdles men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,John Bray,United States,Men,1500m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Charles Bennett,United Kingdom,Men,1500m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Henri Deloge,France,Men,1500m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Stanley Rowley,Australia,Men,200m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,United States,Men,200m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Norman Pritchard,India,Men,200m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,United States,Men,200m hurdles men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,United States,Men,200m hurdles men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Norman Pritchard,India,Men,200m hurdles men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Jacques Chastanie,France,Men,3000m steeplechase men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,George Orton,Canada,Men,3000m steeplechase men,Gold,1,0,0
